Datum ID,Indexed Field,NomicAtlasTopicDepth1,NomicAtlasTopicDepth2,NomicClaudeTopicDepth1,NomicClaudeTopicDepth2
652,"Continue policies to attract global AI talent while also increasing investment in STEM education for American students. Ensure a welcoming environment for international students and academics to support US tech leadership.
",Workforce Development,Immigration,Workforce Dev,Talent Immigration
653,"To the extent there are relevant government programs that might be able to leverage telecommunications-related AI innovations, they should consider doing so to reduce operating expenses and enhance network capabilities.
",Government operations,Government,Infrastructure,Gov Services
654,"Support incremental upgrades to AI systems and infrastructure to keep pace with technological advancements, allowing for more responsive adaptation to new capabilities.
",Government operations,Economic Development,Infrastructure,Innovation Hubs
655,"Integrate AI literacy into national security strategy to combat deepfake misinformation, cyber threats, and algorithmic manipulation.
",Government operations,Cybersecurity,Infrastructure,Cyber Defense
656,"Maintain American leadership in global AI policy to promote human flourishing, economic competitiveness, and national security by ratifying the US-sponsored AI Convention for freedom, human rights, and the rule of law.
",Government operations,International Cooperation,Infrastructure,Global Cooperation
657,"Improve data collection on AI adoption and impacts to better monitor trends and support policy decisions. Specifically, collect data at the business location level rather than just company-wide to better understand regional impacts and local workforce effects.
",Government operations,Health,Infrastructure,Scientific Apps
658,"Encourage US AI-driven innovations in healthcare, crisis response, and sustainability to drive economic growth in partner nations while reinforcing democratic norms. Expand AI-driven agriculture, logistics, and fintech solutions to strengthen global supply chain resilience and economic stability.
",Government operations,International Cooperation,Infrastructure,Global Cooperation
659,"Develop and implement AI platforms that are accessible to all, incorporate principles of universal design, include accessibility features as standard (not optional), and meet Section 508 accessibility standards required for federal agency use.
",Risk Management,International Standards,Regulation,Global Standards
660,"Establish comprehensive controls to ensure AI model security, including:
• Developing standards for secure model training and validation processes.
• Implementing cryptographic verification of model origins and integrity.
• Creating a National AI Model Registry for critical applications with verified security properties.
• Establishing requirements for continuous monitoring of deployed models for signs of tampering or degradation.
",Content Creation,Supply Chain Security,Content & Models,Security Threats
661,"The US Government should promote free markets and a robust voluntary licensing ecosystem for AI development. This includes:
• Ensuring copyright owners maintain the right to choose whether to license their works for GAI purposes and on what terms,
• Avoiding policies that interfere with the free market or freedom to license,
• Supporting market-based valuation of creative works used in AI development.
",Content Creation,Copyright,Content & Models,Creator Rights
662,"The Administration should consider policies that promote innovation in safety and AI applications for autonomous vehicles (AVs). The National Highway Traffic Safety Administration and Federal Motor Carrier Safety Administration should pursue rulemakings that assert the agencies' exclusive authorities to test, approve, and oversee automated driving system technologies, enforcing compliance through Federal Motor Vehicle Safety Standards and Federal Motor Carrier Safety Regulations for all vehicle classes.
",Semiconductor manufacturing,Autonomous Vehicles,Manufacturing,Autonomous Safety
663,"Support efforts in cross-industry data provenance standardization and enforce intellectual property protections for both data rightsholders and model developers. This includes:
• Harmonizing existing copyright laws to balance AI developers' needs with appropriate safeguards.
• Establishing cross-industry data provenance standards to evaluate data sources.
• Promoting transparency in data collection practices throughout the AI development cycle.
",Content Creation,Intellectual Property,Content & Models,IP Protection
664,"Focus on the compute time and power requirements of the top ARC-AGI test performers to identify the most efficient AGI platforms, ensuring scalability and resource efficiency. The recommendation emphasizes that real AGI will require far less compute power than current AI platforms.
",Government operations,Energy infrastructure,Infrastructure,Power Grid
665,"Broad exemptions on the development and use of AI systems for national security purposes must be scrutinized to ensure that use by military, law enforcement, and other government or private entities does not override the rule of law and people's civil rights.
",Content Creation,Online Safety,Content & Models,Child Protection
666,"The U.S. should work with international standardization bodies to develop and adopt technical standards based on mathematical proofs for privacy threat modeling (PTM), privacy-enhancing technologies (PETs), privacy-preserving machine learning (PPML), and inference guardrails. These standards would include formal methods for mathematically proving the effectiveness of privacy threat models, standards for PETs that can be mathematically verified, and standards for PPML and inference-level guardrails.
",Semiconductor manufacturing,Digital Identity,Manufacturing,Digital Standards
667,"Prioritize secure Edge AI development for national security applications. Key actions include:
• Establish mandatory AI security standards for Edge AI deployment across critical AI infrastructure.
• Increase funding for AI research in cybersecurity, focusing on adversarial AI detection and mitigation in edge applications.
• Strengthen defense partnerships with academia to accelerate the adoption of secure AI in national security applications.
",Government operations,Cybersecurity,Infrastructure,Cyber Defense
668,"Leverage NIST's expertise in establishing standards and best practices for AI governance, building on foundational efforts like the AI Risk Management Framework. Strengthen NIST's role in deepening AI policy coordination with allies, fostering international collaboration, and shaping global AI norms that align with U.S. principles.
",Risk Management,Cybersecurity standards,Regulation,NIST Standards
669,"The government should recognize and invest in a broader range of AI techniques beyond Generative AI. These include optimization techniques, natural language processing, computer vision, digital twins, streaming analytics, and quantum computing in hybrid optimization approaches.
",Government operations,Government,Infrastructure,Gov Services
670,"Support AI education initiatives that help the public understand and responsibly use AI, recognizing its role in job creation, national security, and global competitiveness. Encourage programs that equip individuals with the skills to navigate AI-driven technologies while fostering critical thinking about AI's opportunities and risks.
",Workforce Development,Education (2),Workforce Dev,Learning Tools
671,"Prioritize R&D funding in key infrastructure areas to unlock the potential of Physical AI in the energy industry. Focus areas should include:
• Industrial IoT & Edge Computing for AI decision-making in the field.
• Reliable connectivity in energy-rich regions.
• Digital twin development for enhancing operational efficiency.
• Automation & robotics to handle hazardous tasks.
",Government operations,Energy infrastructure,Infrastructure,Power Grid
672,"The U.S. government should explicitly endorse open-source AI and permit the free global transfer of open-source models. This approach will allow researchers, developers, and organizations to access, modify, and improve AI models collectively without relying on a small number of gatekeepers.
",Content Creation,Software Development,Content & Models,Open Source
673,"Create AI education standards that:
• Establish rigorous evaluation processes for AI-based educational tools to prevent developmental harm.
• Develop transparency requirements for AI-powered digital learning tools.
• Create ethical guidelines for AI-driven mental health applications for children.
• Support medical education programs that integrate AI ethics and practical AI use.
• Work with medical societies to create standardized AI competency guidelines for healthcare professionals.
",Workforce Development,Education (2),Workforce Dev,Learning Tools
674,"Implement interconnection queue reform to address bottlenecks in the U.S. transmission system that are delaying critical energy infrastructure needed to support AI workloads. Reforms should enhance transparency, efficiency, and coordination among grid operators and developers.
",Energy Infrastructure,Electric Grid,Energy Systems,Grid Reliability
675,"The Plan should promote AI applications that build thriving communities by leveraging AI for accessibility and inclusion. Specific applications include:
• Screen readers and audio aids for government websites and digital services.
• Braille conversion for government documents and notices.
• Real-time transcription and translation support.
• Language simplification tools to make legal and bureaucratic language more accessible.
• Virtual real-time interpretation of spoken or written sign language.
• Customizable communication formats for people with various accessibility needs.
",Workforce Development,Education (2),Workforce Dev,Learning Tools
676,"Establish innovative federal regulatory ""safe spaces"" for testing advanced AI and cloud technologies in the financial sector. These controlled environments would allow financial institutions to experiment with cutting-edge solutions not easily suited to traditional on-premise or government-cloud-only sandboxes, without compromising consumer protection or market stability.
",Risk Management,Banking Regulation,Regulation,Financial Rules
677,"Use the power of the United States to protect intellectual property rights of U.S. citizens and rights-holders worldwide. Apply harsh penalties to any company or country that engages in anything other than transparent, free, and compensated use of content.
",Content Creation,Intellectual Property,Content & Models,IP Protection
678,"The Administration, through OSTP and in consultation with PCAST, should encourage the use of open AI models across the executive branch. This would allow for increased transparency and collaboration among researchers and policymakers, improving policy formation, resource allocation, and fostering public trust in AI-driven governance.
",Science Partnerships,Science Policy,Research Funding,OSTP Roadmap
679,"Properly fund and modernize the Bureau of Industry and Security (BIS) to improve oversight and enforcement of export controls. Recommendations include:
• Meeting BIS's budget request for FY2025 ($32 million).
• Authorizing BIS to charge fees for export license applications.
• Allowing BIS to collect a portion of monetary sanctions for a whistleblower compensation fund.
• Authorizing qui tam lawsuits against export rule violators.
",Content Creation,Semiconductor export controls,Content & Models,Export Controls
680,"Maintain the current copyright protections that have enabled America's creative industries to flourish rather than creating special exemptions for AI companies. This requires AI companies to negotiate appropriate licenses with copyright holders for using creative content to train AI models, just as other industries must do.
",Content Creation,Copyright,Content & Models,Creator Rights
681,"Continue and expand the National Artificial Intelligence Research Resource (NAIRR) Pilot program, which has helped marshal the collective innovative potential of the federal government, large technology companies, and U.S. scientific institutions. The administration should partner with Congress to permanently establish NAIRR, moving it beyond its pilot status.
",Science Partnerships,Computational Resources,Research Funding,Computing Access
682,"• New large loads should be allowed, but not required, to bring their own generation as a condition of interconnecting to the electric grid.
• When customers choose to contract with new generation sources, transmission providers should adopt policies to better coordinate the interconnection of new load and new contracted generation.
• New large electric loads should be able to contract with both new and existing competitive generation resources throughout the United States, including in areas where vertically integrated utilities have been granted an electric supply monopoly.
",Energy Infrastructure,Electric Grid,Energy Systems,Grid Reliability
683,"Create comprehensive training programs focused on developing skills for RAG systems and OCR applications. These programs should:
• Equip professionals with expertise to handle complex data extraction tasks and interpret generative AI outputs,
• Incorporate RAG models into training to provide accurate, context-specific responses,
• Develop curricula focused on OCR applications using vision models,
• Empower professionals to handle visual data effectively.
",Science Partnerships,Machine Learning,Research Funding,Model Validation
684,"Develop comprehensive programs to prepare the workforce for AI integration. This includes:
• Creating AI education and training programs including certifications, apprenticeships, and AI literacy initiatives,
• Establishing reskilling programs for workers impacted by AI to transition into AI-supported jobs,
• Expanding workforce training programs to include technical professionals without traditional four-year degrees.
",Workforce Development,Workforce Development (2),Workforce Dev,Career Programs
685,"Foster trust in AI through public education campaigns and create AI explainability resources for clinicians and patients to enhance transparency.
• Foster trust in AI through public education campaigns.
• Create AI explainability resources for clinicians and patients to enhance transparency.
",Content Creation,Machine Learning (2),Content & Models,Model Disclosure
686,"The administration should expand government utilization of AI and improve federal procurement by:
• Moving away from cost-plus contracting,
• Encouraging modular procurement that allows agencies to procure AI components separately,
• Utilizing flexible procurement mechanisms like Other Transaction Authority,
• Leveraging cloud-based AI services to reduce infrastructure costs,
• Simplifying the accreditation process for cloud-based AI tools,
• Requiring AI vendors to meet FedRAMP continuous monitoring requirements,
• Prioritizing interoperability requirements across agencies.
",Government operations,Procurement,Infrastructure,Federal Contracts
687,"The Administration should implement federal policies to prevent states from enacting discriminatory policies that disproportionately burden data centers.
",Energy Infrastructure,Construction,Energy Systems,Industry Centers
688,"Enhance IP protections to maintain American competitive advantage through:
• Issue an Executive Order recognizing intellectual property as a national priority,
• Reform Patent and Trial Appeal Board with a ""one and done rule"" and alignment of standards across forums,
• Reject policies that undermine innovation or weaken America's competitive edge,
• Empower U.S. courts to issue patent infringement injunctions and block access to foreign sites engaged in copyright infringement.
",Content Creation,Intellectual Property,Content & Models,IP Protection
689,"Prevent insurers and benefit plans from misusing AI in the claims review process by:
• Prohibiting automated denials without qualified physician review,
• Ensuring each denial is based on individual patient circumstances and medical history,
• Requiring transparency in how plans use AI in claims review,
• Enforcing compliance with Medicare Advantage regulations that require individualized determinations, and
• Enhancing reporting and auditing requirements to prevent AI from unduly influencing human reviewers.
",Risk Management,Healthcare (3),Regulation,Medical Oversight
690,"Continue to apply existing principles-based and technology-neutral legal and regulatory frameworks to manage the risks presented by the use of AI in the financial services industry, rather than implementing AI-specific regulations. Only if novel risks are identified should potential regulatory action be considered.
",Risk Management,Banking Regulation,Regulation,Financial Rules
691,"Prioritize and implement AI adoption in the U.S. education system as the highest priority action for AI development.
",Workforce Development,Education (2),Workforce Dev,Learning Tools
692,"Federal agencies should create new regulations to make data protection, privacy, and security the default for individuals and researchers in the US. This includes:
• Requiring AI developers to secure individual permissions and respect individual decisions,
• Collecting only necessary data for functionality,
• Protecting individuals from unchecked surveillance,
• Using plain language to describe data practices,
• Providing individuals access to confirm their privacy decisions are respected.
",Healthcare Privacy,Privacy,Data Privacy,Personal Data
693,"• Implement advanced cooling methods such as liquid cooling and heat reuse, and on-site renewable integration to cut HPC operational costs.
• Coordinate large-scale AI tasks during off-peak hours to reduce energy expenses and grid strain.
• Emphasize dynamic power management to boost efficiency and ensure reliable, cost-effective HPC performance.
",Government operations,Energy infrastructure,Infrastructure,Power Grid
694,"Include healthcare as a key focus area in the national AI Action Plan, recognizing its significant economic impact and the extensive integration of AI in healthcare delivery, diagnosis, treatment, and administration.
",Content Creation,Community Development,Content & Models,Community Support
695,"Develop a standardized AI benchmark called TransportationBench to drive AI adoption in the US transportation industry. This framework would include:
• Creating a General Transportation Data Corpus (GTDC) with transportation technical standards and guidelines;
• Establishing expert annotation, testing and validation processes with transportation domain experts;
• Developing benchmark metrics for accuracy, citation quality, latency, and cost efficiency of AI models in transportation contexts.
",Content Creation,Performance Assurance,Content & Models,Model Evaluation
696,"Provide training for government officials on AI procurement best practices. This includes:
• Developing and implementing training programs for government officials on AI procurement best practices.
• Organizing workshops and seminars to provide hands-on training and practical knowledge on AI procurement.
• Establishing certification programs to validate the expertise of government officials in AI procurement best practices.
",Government operations,Procurement,Infrastructure,Federal Contracts
697,"Establish guidelines for clear ownership and licensing, rigorous quality assurance, and strong security measures for AI data and models. This includes tracking data and model lineage, and ensuring user-friendly access to maximize data value and explainability.
",Content Creation,Machine Learning (2),Content & Models,Model Disclosure
698,"Create a high-performance network linking academic, government, and private sector research centers to support cross-sector collaboration for physical AI applications, similar to the Department of Energy's interconnected computing model.
",Science Partnerships,Strategic Partnerships,Research Funding,Public-Private
699,"Strike a balance between appropriate transparency requirements for AI systems and protecting confidential information important for AI development. Companies should not have to disclose trade secrets or confidential commercial information to the public absent compelling circumstances.
",Content Creation,Machine Learning (2),Content & Models,Model Disclosure
700,"Require continuous monitoring of AI outputs to ensure fidelity to intended use cases, prevent harmful outputs to consumers, and iterate upon future AI application versions using monitoring results.
",Content Creation,Performance Assurance,Content & Models,Model Evaluation
701,"• Prioritize licensed data in government procurement, ensuring federal AI acquisitions favor models trained on properly licensed content.
• Develop a voluntary federal certification program to validate AI systems trained on ethical, licensed data to create market incentives for responsible AI development.
• Fund research on efficient learning techniques that maximize AI performance from smaller, high-quality datasets, reducing reliance on indiscriminate web scraping.
",Government operations,Procurement,Infrastructure,Federal Contracts
702,"• Develop smaller, partitioned data center solutions that can work offline to limit outside access while allowing AI functionality in areas with low or compromised connectivity.
• Advance solutions that move high-performance computing to the rugged edge and enable mobile computing capabilities.
• Continue developing edge data center solutions as an integral part of a comprehensive AI roadmap to address security needs, offline high-performance computing, and low latency requirements.
",Energy Infrastructure,Energy Solutions,Energy Systems,Energy Solutions
703,"The U.S. should prioritize strong rules for digital trade, particularly by upholding and advancing strong protections for source code and algorithms. Policymakers should build upon successful efforts to protect intellectual property, prevent forced data localization, and oppose customs duties on electronic transfers within trade agreements.
",Semiconductor manufacturing,Digital Identity,Manufacturing,Digital Standards
704,"Partner with US-based universities, industry leaders, and research institutions to develop US-centric AI literacy programs for non-technical stakeholders in the Global South, including policymakers, journalists, and business leaders.
",Workforce Development,Education (2),Workforce Dev,Learning Tools
705,"Implement security classifications for AI data and systems that are easy to follow.
• Create transparent policies regarding AI development and use that enable assessment and comparison.
• Establish higher security classification requirements for in-house infrastructure with robust cybersecurity minimums.
• Define lower security levels for contracted development and licensing.
• Implement independent oversight for objective performance and security testing.
",Content Creation,Supply Chain Security,Content & Models,Security Threats
706,"Increase federal investments in AI education and training programs at higher education institutions, including:
• Funding for specialized AI curriculum development,
• Providing retraining opportunities for workers at risk of job automation, and
• Expanding funding for scholarship for service programs like CyberCorps®.
",Workforce Development,Education,Workforce Dev,K-12 Education
707,"The Administration should adopt policies that encourage and facilitate the development of necessary infrastructure to support the development and training of large models, such as encouraging public-private partnerships and developing policies that encourage domestic chip development and data centers.
",Energy Infrastructure,Construction,Energy Systems,Industry Centers
708,"Government should support the creation of stable, enduring business models by promoting idea sharing across industries. This includes encouraging deep collaboration between government, industry, and academia to share best practices in research, development, and intellectual property protection. The government should also foster reciprocal business relationships and strategic partnerships that support sustainable growth while safeguarding national economic interests.
",Semiconductor manufacturing,Innovation,Manufacturing,Research Hubs
709,"Create an AI-for-sustainability legislative toolkit that includes emissions tracking standards, incentives for predictive AI reporting, and digital compliance frameworks. This would help transition environmental regulation from reactive, manual compliance models to AI-enabled, performance-based frameworks.
",Content Creation,Performance Assurance,Content & Models,Model Evaluation
710,"Increase federal investment in innovation ecosystems focused on agricultural technology and AI, building on successful models that have already shown results in removing barriers to technology adoption.
",Government operations,Economic Development,Infrastructure,Innovation Hubs
711,"To support continued buildout of data centers and maintain U.S. AI leadership, the federal government should convene industry-led discussions on critical electrical and grid components for data centers. These convenings should include manufacturers, data center developers, electric utilities, and other stakeholders to identify policy recommendations to support the expansion of electrical manufacturing capacity both in the U.S. and among allies.
",Energy Infrastructure,Construction,Energy Systems,Industry Centers
712,"Implement a balanced regulatory approach for AI with two key components:
• Enact a Federal Legislative Package that preempts a patchwork of conflicting state regulations by establishing consistent national standards.
• Support the Establishment of Self-Regulatory Organizations (SROs) positioned to craft and enforce AI guidelines based on industry expertise while maintaining federal checks and balances.
",Risk Management,Regulatory Landscape,Regulation,Federal Laws
713,"Incentivize the development and deployment of energy-efficient AI data center technologies (advanced cooling systems, intelligent power management) and strategies for enhancing data center flexibility. Support the expansion of demand-side flexibility through technological advancements in battery storage, nuclear generation, renewables, and expanded fuel options for backup facilities to help alleviate potential shortages during peak demand periods.
",Energy Infrastructure,Energy Solutions,Energy Systems,Energy Solutions
714,"Develop a communication strategy that discusses both the benefits and risks of AI in healthcare to help consumers understand what society has to gain from AI while promoting transparent standards to enhance confidence. This should include education on how AI may help patients lead healthier and more productive lives, bring down healthcare costs, and lead to more accurate diagnoses and improved care.
",Content Creation,Healthcare (4),Content & Models,Clinical Use
715,"• Award grants to encourage collaborative research and training, pairing academic labs with public sector projects.
• Establish government-backed apprenticeship and internship programs placing students in HPC labs or federal AI initiatives for 6-12 months.
• Support universities as hubs for hackathons, workshops, and job fairs that bring stakeholders together.
• Co-run data centers or HPC clusters with academic partners to catalyze research breakthroughs.
",Science Partnerships,Education (3),Research Funding,Rural Education
716,"Develop and implement AI technologies to support integrated pest management in agriculture through:
• AI-powered image recognition to identify insect pests early from images captured via tractor, drone, or satellite,
• Predictive modeling of pest outbreaks by analyzing climate, crop, and insect population data to suggest proactive management strategies.
",Government operations,Health,Infrastructure,Scientific Apps
717,"Invest in digital twin technology to optimize the design and operation of multiple sub-systems throughout data centers, maximizing the overall return on investment by balancing performance, capital expenses, and operating costs.
",Energy Infrastructure,Construction,Energy Systems,Industry Centers
718,"Adequately fund the National Institute of Standards and Technology to continue its multistakeholder approach to designing voluntary soft law around AI, such as its AI risk management framework. This work can serve as a model for hard law approaches if needed.
",Risk Management,Information Security,Regulation,Risk Management
719,"The AI Action Plan should acknowledge the beneficial uses of AI in consumer-facing industries, particularly how AI can allow consumers to access services outside normal business hours, provide flexibility for people with disabilities, and enhance compliance with regulatory requirements.
",Content Creation,Community Development,Content & Models,Community Support
720,"Foster robust public-private partnerships to accelerate AI development and deployment by:
• Investing in large-scale computing infrastructure like 'exascale AI-computing pods' for high-performance computing institutions,
• Establishing Federal Frontier Labs (FFLs) to integrate commercial labs with government expertise,
• Developing strategic applications guided by Grand Challenges that align with national priorities,
• Applying mission engineering to ensure AI technologies meet mission-critical needs,
• Creating high-quality datasets to support AI model development.
",Government operations,Economic Development,Infrastructure,Innovation Hubs
721,"Require regular impact assessments and independent audits of AI systems to verify they operate as intended without adverse civil rights consequences. These evaluations should:
• Include both internal and third-party oversight.
• Implement appropriate enforcement measures for non-compliance.
• Collect AI impact data at regular intervals (at least annually).
",Content Creation,Performance Assurance,Content & Models,Model Evaluation
722,"• Introduce grants, subsidies, or tax incentives to reduce the financial burden of adopting AI technologies.
• Establish public-private partnerships to facilitate affordable access to AI tools and resources.
",Science Partnerships,Business Incentives,Research Funding,Business Incentives
723,"• Establish clear, risk-based guidelines for AI data governance without creating regulatory hurdles.
• Promote encryption and anonymization techniques for sensitive data used in AI training.
• Encourage development of secure data-sharing ecosystems that enable innovation while protecting proprietary and personal information.
• Support legal frameworks providing clear guidance on ethical data usage aligned with domestic and international privacy regulations.
",Healthcare Privacy,Privacy,Data Privacy,Personal Data
724,"Encourage AI adoption in allied and emerging economies through public-private partnerships, investment incentives, and financing from the US International Development Finance Corporation (DFC) and the Export-Import Bank to counterbalance China's Digital Silk Road and establish a free-market, empowering AI ecosystem.
",Government operations,Economic Development,Infrastructure,Innovation Hubs
725,"Provide regulatory certainty and standardized approaches for the use of AI technologies in drug discovery and development while maintaining safety and efficacy standards. Any actions to regulate AI technology should consider the implications for innovation within the full drug lifecycle.
",Risk Management,Healthcare (3),Regulation,Medical Oversight
726,"Lead international efforts to address multi-agent AI risks through:
• Technical standards for AI agent interoperability, security, and coordination, which could position U.S. approaches as the global default,
• Information sharing mechanisms for sharing data about incidents involving multi-agent AI systems to improve collective understanding of risks.
",Risk Management,International Standards,Regulation,Global Standards
727,"Develop robust data pipelines and privacy protocols for RAG and OCR technologies. This should include:
• Implementing strict privacy protocols for RAG integration with external datasets,
• Ensuring high-quality images for accurate OCR text extraction, and
• Anonymizing data before processing to address privacy concerns for sensitive documents.
",Semiconductor manufacturing,Digital Identity,Manufacturing,Digital Standards
728,"Fund federal research at the authorized levels to ensure the U.S. remains the global leader in semiconductor innovation, enabling researchers to make discoveries that will transform semiconductor technology and building the pipeline of scientists and engineers needed to maintain technology leadership.
",Semiconductor manufacturing,Semiconductor manufacturing (2),Manufacturing,Chip Production
729,"Support capacity-building programs for AI governance in low- and middle-income countries to promote a U.S. vision of AI governance. Consider establishing programs similar to the Digital Connectivity and Cybersecurity Partnership Program (DCCP).
",Government operations,International Cooperation,Infrastructure,Global Cooperation
730,"Foster an environment that promotes technological innovation to strengthen the position of small businesses and start-ups to compete globally in AI development.
",Science Partnerships,Strategic Partnerships,Research Funding,Public-Private
731,"The government should adopt a risk-based regulatory approach to AI that recognizes different levels of risk across sectors, avoiding a one-size-fits-all approach. This includes:
• Considering the sector and application when determining risk level,
• Recognizing video game industry's longstanding low-risk AI uses,
• Understanding that concerns over fraud and misinformation are generally not present in entertainment media,
• Focusing transparency and labeling obligations on high-risk AI systems only,
• Encouraging self-regulation for low to minimal-risk AI applications.
",Risk Management,Regulatory Governance,Regulation,Risk Framework
732,"Transform traditional schools into centers for social and emotional development while academic instruction shifts to AI-personalized platforms. This would include:
• AI-driven emotional intelligence training using sentiment analysis and cognitive modeling.
• Group collaboration through VR-enabled social simulations.
• Physical fitness and mental well-being programs.
• Mentorship systems with AI mentors and peer learning opportunities.
• Replacing standardized testing with social and emotional readiness metrics.
",Workforce Development,Education,Workforce Dev,K-12 Education
733,"Unleash America's AI workforce potential by leveraging education, industry and government to drive economic growth and global competitiveness. This would create pathways from K-12 through higher education and into industry.
",Workforce Development,Workforce Development (2),Workforce Dev,Career Programs
734,"Develop public-private collaborations to ensure AI adoption supports economic growth and job creation. Key focus areas include:
• Collaborating on standards for fairness, explainability, and ethical AI use in workforce applications,
• Ensuring small businesses and startups can leverage AI to enhance hiring and workforce efficiency, and
• Supporting development of new computing resources and efficient AI advancements to drive long-term growth.
",Science Partnerships,Strategic Partnerships,Research Funding,Public-Private
735,"Foster inclusive dialogue on AI policy development. This includes:
• Convening national and international public forums to gather input from academia, industry, civil society, and the public to ensure diverse perspectives in policy formulation,
• Establishing grants and collaborative initiatives that encourage multi-stakeholder research on AI's social impacts, informed by existing and emerging international standards.
",Risk Management,Rural development,Regulation,Policy Awareness
736,"The government should adopt the same light-touch regulatory model that positioned the US to dominate earlier waves of technology, focusing on:
• Regulating uses of AI tools rather than their creation.
• Relying on existing laws and regulators to police known harms.
• Identifying any new, uncovered risks, and only then legislating to prevent them.
",Risk Management,Regulatory Landscape,Regulation,Federal Laws
737,"Develop national research and development in areas where commercialization is not the best vehicle for supporting development and scaling of novel technologies. Focus areas should include personalized education and vocational training, advances in drug development and cancer research, entrepreneurial opportunities, and increased opportunities to engage in the democratic system.
",Semiconductor manufacturing,Innovation,Manufacturing,Research Hubs
738,"Implement risk-based PFAS regulations that allow continued access to essential materials for semiconductor manufacturing while promoting research into alternatives. This includes:
• Supporting PFAS policies that implement risk-based analysis and emission controls while ensuring access to chemicals vital for semiconductor production.
• Leveraging CHIPS R&D activities like CARISSMA, which uses AI to identify viable alternatives to PFAS, and PRISM, which accelerates progress on environmental controls.
",Semiconductor manufacturing,Semiconductor manufacturing (2),Manufacturing,Chip Production
739,"Develop guidance that protects intellectual property (IP) when used in AI systems. The guidance should:
• Implement a process for licensing data sets,
• Identify and register public data,
• Establish protocols for opting out or removing data from public access,
• Develop transparency measures for data used in training AI platforms,
• Encourage self-policing and internal auditing by AI vendors,
• Build out tort claims or legal protections for intentional or per-se violations.
",Content Creation,Intellectual Property,Content & Models,IP Protection
740,"Urge the FTC and DOJ to abandon the 2023 Merger Guidelines which could impede acquisitions of VC-backed startups by larger companies. This would preserve pathways to liquidity for startups, which is critical to sustaining robust VC investment in AI innovation.
",Content Creation,Antitrust regulation,Content & Models,Market Competition
741,"Champion AI literacy training from K-12 into the workforce to position workers and learners as responsible AI users, managers, and creators. The plan should:
• Prioritize development of future-ready skills essential for AI opportunities (durable skills, entrepreneurship, data literacy),
• Promote skill development initiatives including employer incentives for AI training,
• Provide professional development in AI competency for public sector employees,
• Support entrepreneurs in leveraging AI to build businesses, create jobs, and generate wealth,
• Work with Congress to pass the Digital Skills for Today's Workforce Act to scale generative AI training.
",Workforce Development,Workforce Development (2),Workforce Dev,Career Programs
742,"Prioritize mechanisms to promote, mandate, and specify transparency in AI systems. This includes transparency regarding AI developers' business practices, the resources they use to build models, and the risks and limitations of their models.
",Content Creation,Machine Learning (2),Content & Models,Model Disclosure
743,"Provide strategic public support to bridge the ""valley of death"" between innovation and commercial success in AI-driven materials science, which is too vast to be bridged by private investment alone.
",Science Partnerships,Strategic Partnerships,Research Funding,Public-Private
744,"Support legislative efforts like the Nurture Originals, Foster Art, and Keep Entertainment Safe (NO FAKES) Act, which would establish protections against the unauthorized use of an individual's name, image, or likeness in AI-generated content.
",Content Creation,Copyright,Content & Models,Creator Rights
745,"The Administration should partner with ANA on efforts to discuss or determine AI policymaking in healthcare to ensure policies reflect clinical expertise.
",Content Creation,Healthcare (4),Content & Models,Clinical Use
746,"Update regulatory frameworks to provide clear guidance regarding explainability and interpretability requirements rather than simple outcome monitoring. Implement explainability requirements specifically for AI tools used in pediatrics to ensure clinicians and families understand AI-generated recommendations. Develop reference linking mechanisms similar to clinical decision support tools to increase assurance of AI model outputs.
",Risk Management,Healthcare (3),Regulation,Medical Oversight
747,"Invest in public-private partnerships to drive innovation in AI research, development, and deployment, leveraging the strengths of both sectors.
",Science Partnerships,Strategic Partnerships,Research Funding,Public-Private
748,"The Trump administration should accelerate the use of AI in healthcare by providing federal resources and incentives, particularly to address administrative burden, provider burnout, and provider shortages. The investment should come from one-third of non-defense AI spending to ensure AI is available throughout the healthcare system, including in less resourced areas like rural and behavioral healthcare.
",Science Partnerships,Healthcare (2),Research Funding,Healthcare Payment
749,"The National AI Research Resource (NAIRR) and Frontiers in Artificial Intelligence for Science, Security, and Technology (FASST) initiatives should both be fully funded without delay as they provide complementary resources for AI research and innovation.
",Science Partnerships,Computational Resources,Research Funding,Computing Access
750,"NIST should assist in coordinating across the federal enterprise to identify and prioritize the federal government's AI standards needs. This coordination will help generate greater support for AI standards development efforts that meet agency-specific requirements while maintaining alignment across the government.
",Risk Management,Cybersecurity standards,Regulation,NIST Standards
751,"Mitigate risks of AI being misused for chemical, biological, radiological, and nuclear (CBRN) attacks through:
• Testing frontier AI systems pre-release in classified settings for CBRN risks,
• Relocating the AI Safety Institute from NIST to an agency with greater classified operations experience and CBRN expertise,
• Funding research into preventing and mitigating AI-enabled CBRN attacks,
• Banning dangerous AI-enhanced virology research, particularly gain of function research on pathogens of pandemic potential.
",Content Creation,Biotechnology,Content & Models,Biosecurity
752,"Work with Congress to pass the CREATE AI Act, which would authorize the National Artificial Intelligence Research Resource (NAIRR) and democratize the development and use of AI through free or low-cost access to datasets and computing resources. Also pass the Future of Innovation Act which would advance AI research by forging partnerships among government, business, civil society, and academia, and create testbeds with national laboratories to spur groundbreaking AI innovations.
",Science Partnerships,Artificial Intelligence,Research Funding,NAIRR Legislation
